IRIS,Taux de pauvreté,Nom IRIS,Commune,geometry
381850201,,Esplanade,Grenoble,"POLYGON ((5.715458210660125 45.199612305692604, 5.716024746026353 45.19965348269777, 5.716487701006545 45.199687266722776, 5.717068326675325 45.19972989753363, 5.717848479327769 45.19978748920559, 5.7219744217580795 45.19860402332263, 5.722023534132087 45.19853975905963, 5.722177279810323 45.19853060460159, 5.72256298300035 45.19854822783513, 5.7225863725277915 45.19829629106505, 5.722587250198983 45.19828816106877, 5.722998009123593 45.19814029698153, 5.723262967409669 45.19805995579311, 5.7256853251792 45.19766658554487, 5.726594256752159 45.19754348301601, 5.728379384602888 45.19670612694542, 5.728778300019671 45.1947268856293, 5.729505936148153 45.19405049746501, 5.729155829098189 45.19384823357637, 5.729083894899088 45.19381035011589, 5.728978782862083 45.19377147578255, 5.728916637728059 45.193751372038385, 5.728622240888091 45.193672076636126, 5.727021467248432 45.193299456565846, 5.725766142147887 45.1930075740244, 5.72575578495696 45.193004223105376, 5.725378057634144 45.19291434072454, 5.725138045123295 45.192852628649554, 5.724726878962966 45.19275635279993, 5.724178266187804 45.19266342978238, 5.723401102410656 45.19258689173435, 5.722135895366234 45.1924573819776, 5.7217196904890395 45.19241437437228, 5.721120047716059 45.19234610551682, 5.720847128238292 45.192314917999596, 5.7207958708451985 45.19230895971916, 5.72060681570762 45.19227302465192, 5.7206002769427995 45.192269580203465, 5.720582021044468 45.19226101560618, 5.72033732143298 45.19218138860082, 5.720320643939927 45.19223134741682, 5.720327489041451 45.19226721871001, 5.72034793866445 45.192294649892965, 5.720384845180219 45.19231987811474, 5.719607361210716 45.19283795029598, 5.718742023458522 45.192991468931446, 5.71774145865564 45.1932987320095, 5.716826625869665 45.19371832024746, 5.716277705217059 45.19411638446646, 5.715738503631962 45.194661965403256, 5.715345909141919 45.195287766103775, 5.715087513369093 45.19628870109671, 5.715091613165983 45.196870616006734, 5.715407900263494 45.198945022916796, 5.715458210660125 45.199612305692604))"
381850202,26.0,Saint-Laurent-Lavalette,Grenoble,"POLYGON ((5.73414475061994 45.20176270868878, 5.734553458015411 45.201495024417184, 5.734646056226571 45.20143419396211, 5.735125887935317 45.20090168497685, 5.735186178168406 45.20083173497089, 5.735146316678931 45.200798475043456, 5.734905611278537 45.200593547087585, 5.734814641751426 45.20047955165466, 5.734718707486197 45.20034225281342, 5.734565075360832 45.20009374717822, 5.734527489875258 45.2000288977175, 5.734396499810601 45.199748303735014, 5.734342394509369 45.19960637630918, 5.734198990224963 45.19915039911906, 5.733737813643307 45.19741022827246, 5.73373213829999 45.197346399163514, 5.733740777583794 45.1973146540469, 5.7337700456233875 45.19728780953162, 5.7338173086975415 45.19726412817825, 5.733763532695808 45.197206882716856, 5.733761819109964 45.197197915089774, 5.734003769243887 45.196960443547034, 5.734206344300884 45.19669960993032, 5.734704192188786 45.19604142785191, 5.734806629986106 45.19586953810833, 5.73470953123875 45.19578632565994, 5.733475427593508 45.19481108094866, 5.732729985488076 45.194238303118894, 5.732600585522975 45.19411984142346, 5.7325213108183375 45.19403619094812, 5.732480867958884 45.1939128487329, 5.732356251632772 45.193787962997696, 5.731747525480821 45.1931442610902, 5.7315374050428884 45.19291245111072, 5.731485564317745 45.19284254401186, 5.731461198402585 45.19278728088409, 5.731280347727013 45.192789003114996, 5.729948977660922 45.19352161366622, 5.729955088468837 45.19359444171539, 5.729869921770979 45.19370283733885, 5.729688697913344 45.19387935162762, 5.729505936148153 45.19405049746501, 5.728778300019671 45.1947268856293, 5.728379384602888 45.19670612694542, 5.726594256752159 45.19754348301601, 5.7256853251792 45.19766658554487, 5.723262967409669 45.19805995579311, 5.722998009123593 45.19814029698153, 5.722587250198983 45.19828816106877, 5.7225863725277915 45.19829629106505, 5.72256298300035 45.19854822783513, 5.722582162837488 45.19854956200788, 5.723020486167339 45.19839201610961, 5.7236937147371 45.19855668536065, 5.724508582669891 45.198777357220436, 5.72487546566674 45.198905348415835, 5.72514123642057 45.19918086051431, 5.725514905979227 45.19965645311802, 5.725183139562154 45.201134912410076, 5.724866664470764 45.201648073301556, 5.724488315967298 45.20259069732392, 5.724845033649384 45.20418028903363, 5.725295634653928 45.204612562113915, 5.7257154262737355 45.20501405221416, 5.726106690562426 45.20483151605112, 5.730059353147263 45.20299338498297, 5.733625398096186 45.20187903640294, 5.73414475061994 45.20176270868878))"
381850203,,Jean Jaures,Grenoble,"POLYGON ((5.718873014333088 45.18804295471337, 5.718907280558949 45.18814482848188, 5.719239990546089 45.18911605789915, 5.71938302878988 45.18954142622939, 5.7195386188642985 45.18998901246153, 5.719758889162065 45.19061341116159, 5.719926380916868 45.19096520618831, 5.720042092916678 45.19127411612597, 5.720083515884498 45.19139203245874, 5.72012528988951 45.19151714784856, 5.720193962877517 45.19172359441769, 5.7203094134 45.19207936011034, 5.720330388612494 45.192143717541505, 5.72033732143298 45.19218138860082, 5.720582021044468 45.19226101560618, 5.7206002769427995 45.192269580203465, 5.72060681570762 45.19227302465192, 5.7207958708451985 45.19230895971916, 5.720847128238292 45.192314917999596, 5.721120047716059 45.19234610551682, 5.7217196904890395 45.19241437437228, 5.721753920738832 45.19235858162299, 5.721554689443142 45.19075523811289, 5.721952536321705 45.190160819014274, 5.72273104741335 45.18901203723806, 5.723260378300808 45.18824052185001, 5.723573458359357 45.18776348650122, 5.72338463711873 45.18775818319686, 5.723090018797795 45.1877779844907, 5.72163144876246 45.18788743657233, 5.7192538179975 45.18803998500657, 5.719097248726507 45.188042898235345, 5.718938046637903 45.18804407347415, 5.718873014333088 45.18804295471337))"
381850204,10.5,Créqui-Victor Hugo,Grenoble,"POLYGON ((5.725325050459904 45.192324608599094, 5.725107361681605 45.19125868830775, 5.72477744365071 45.18966844961778, 5.725600586727177 45.18888704703377, 5.7263391987735766 45.1882014019059, 5.726542749411556 45.18801263530486, 5.72639850625577 45.18795489376296, 5.7256946896253 45.18791802557372, 5.724826142883596 45.187873462040585, 5.723709404977633 45.18783404739947, 5.723573458359357 45.18776348650122, 5.723260378300808 45.18824052185001, 5.72273104741335 45.18901203723806, 5.721952536321705 45.190160819014274, 5.721554689443142 45.19075523811289, 5.721753920738832 45.19235858162299, 5.7217196904890395 45.19241437437228, 5.722135895366234 45.1924573819776, 5.723401102410656 45.19258689173435, 5.724178266187804 45.19266342978238, 5.724726878962966 45.19275635279993, 5.725138045123295 45.192852628649554, 5.725322900622239 45.192332769677144, 5.725325050459904 45.192324608599094))"
381850205,17.7,Grenette,Grenoble,"POLYGON ((5.729016898167808 45.19056404150992, 5.729178692994765 45.19053756191862, 5.730485404537377 45.19050019996298, 5.730478584918446 45.190386846291666, 5.731114926132001 45.19005954780331, 5.731405368922956 45.18969386042801, 5.730824194842869 45.18948194018045, 5.727579134374333 45.18836301275515, 5.726542749411556 45.18801263530486, 5.7263391987735766 45.1882014019059, 5.725600586727177 45.18888704703377, 5.72477744365071 45.18966844961778, 5.725107361681605 45.19125868830775, 5.725325050459904 45.192324608599094, 5.725322900622239 45.192332769677144, 5.725138045123295 45.192852628649554, 5.725378057634144 45.19291434072454, 5.72575578495696 45.193004223105376, 5.72577763640868 45.19295593892805, 5.72819547750846 45.19085891207432, 5.729016898167808 45.19056404150992))"
381850206,13.4,Saint-Andre,Grenoble,"POLYGON ((5.729869921770979 45.19370283733885, 5.729955088468837 45.19359444171539, 5.729948977660922 45.19352161366622, 5.731280347727013 45.192789003114996, 5.731461198402585 45.19278728088409, 5.7314567197839095 45.19277387611504, 5.730465643515749 45.19069528989823, 5.730485404537377 45.19050019996298, 5.729178692994765 45.19053756191862, 5.729016898167808 45.19056404150992, 5.72819547750846 45.19085891207432, 5.72577763640868 45.19295593892805, 5.72575578495696 45.193004223105376, 5.725766142147887 45.1930075740244, 5.727021467248432 45.193299456565846, 5.728622240888091 45.193672076636126, 5.728916637728059 45.193751372038385, 5.728978782862083 45.19377147578255, 5.729083894899088 45.19381035011589, 5.729155829098189 45.19384823357637, 5.729505936148153 45.19405049746501, 5.729688697913344 45.19387935162762, 5.729869921770979 45.19370283733885))"
381850207,30.9,Notre Dame,Grenoble,"POLYGON ((5.734067505308837 45.1910305764733, 5.733912657505986 45.19091273979263, 5.733832779588654 45.19086874728213, 5.732207529406319 45.190073352614355, 5.731441706211546 45.1897073865555, 5.731405368922956 45.18969386042801, 5.731114926132001 45.19005954780331, 5.730478584918446 45.190386846291666, 5.730485404537377 45.19050019996298, 5.730465643515749 45.19069528989823, 5.7314567197839095 45.19277387611504, 5.731461198402585 45.19278728088409, 5.731485564317745 45.19284254401186, 5.7315374050428884 45.19291245111072, 5.731747525480821 45.1931442610902, 5.732356251632772 45.193787962997696, 5.732480867958884 45.1939128487329, 5.732564739209455 45.193257601386094, 5.7339410357269625 45.193260842131, 5.735067643817928 45.19279718060621, 5.734852662795524 45.19210240307103, 5.734813368759352 45.19202858622105, 5.7341745612255535 45.19113516826272, 5.734067505308837 45.1910305764733))"
381850208,,Trois Cours,Grenoble,"POLYGON ((5.741335807503772 45.192027168185184, 5.741333080665102 45.19163441623102, 5.741206426925514 45.19162401212089, 5.738353456751939 45.19115436105948, 5.736496140075129 45.191422445306834, 5.7349267040221195 45.191949228053694, 5.73487673037885 45.19199550033703, 5.734813368759352 45.19202858622105, 5.734852662795524 45.19210240307103, 5.735067643817928 45.19279718060621, 5.7339410357269625 45.193260842131, 5.732564739209455 45.193257601386094, 5.732480867958884 45.1939128487329, 5.7325213108183375 45.19403619094812, 5.732600585522975 45.19411984142346, 5.732729985488076 45.194238303118894, 5.733475427593508 45.19481108094866, 5.73470953123875 45.19578632565994, 5.734806629986106 45.19586953810833, 5.734918233694146 45.1958586953828, 5.737443549717328 45.19390478394139, 5.738969508887898 45.193036668260454, 5.741335807503772 45.192027168185184))"
381850209,12.0,Ile Verte-Saint Roch,Grenoble,"POLYGON ((5.741226936003794 45.200732230767514, 5.741295430128957 45.20067378835563, 5.741363968318 45.20061624577957, 5.7413811249469635 45.20060231006764, 5.741421492910755 45.2005679832241, 5.7419148839703915 45.20010538554265, 5.7422761401120015 45.19959918118044, 5.742582438029749 45.199089820850894, 5.742708303302905 45.198824548595816, 5.7431316662190435 45.197793356027326, 5.743195504206223 45.1975106870417, 5.7432452868943855 45.19720133452048, 5.743262468035354 45.196799083000755, 5.743162303843374 45.196083477214074, 5.743081824936175 45.195768316014245, 5.74290412845992 45.19531589439345, 5.742612088287934 45.19468879237859, 5.742327886925082 45.19411735690452, 5.742168543885044 45.19377890579875, 5.741981510320636 45.193317702996666, 5.741923545663572 45.19309749028859, 5.7417944276691895 45.1924663850217, 5.741789296932276 45.192232261153514, 5.7419082857394 45.19167164359074, 5.74153789557047 45.19165371212501, 5.741333080665102 45.19163441623102, 5.741335807503772 45.192027168185184, 5.738969508887898 45.193036668260454, 5.737443549717328 45.19390478394139, 5.734918233694146 45.1958586953828, 5.734806629986106 45.19586953810833, 5.734704192188786 45.19604142785191, 5.734206344300884 45.19669960993032, 5.734003769243887 45.196960443547034, 5.733761819109964 45.197197915089774, 5.733763532695808 45.197206882716856, 5.7338173086975415 45.19726412817825, 5.733937433681472 45.19727109701053, 5.738571691087871 45.198588236726394, 5.74118461371392 45.20070083525489, 5.741214738048665 45.20074334181604, 5.741226936003794 45.200732230767514))"
381850210,10.1,Ile Verte-Maréchal Randon,Grenoble,"POLYGON ((5.738571691087871 45.198588236726394, 5.733937433681472 45.19727109701053, 5.7338173086975415 45.19726412817825, 5.7337700456233875 45.19728780953162, 5.733740777583794 45.1973146540469, 5.73373213829999 45.197346399163514, 5.733737813643307 45.19741022827246, 5.734198990224963 45.19915039911906, 5.734342394509369 45.19960637630918, 5.734396499810601 45.199748303735014, 5.734527489875258 45.2000288977175, 5.734565075360832 45.20009374717822, 5.734718707486197 45.20034225281342, 5.734814641751426 45.20047955165466, 5.734905611278537 45.200593547087585, 5.735146316678931 45.200798475043456, 5.735186178168406 45.20083173497089, 5.735125887935317 45.20090168497685, 5.734646056226571 45.20143419396211, 5.7348942272580485 45.201271347943894, 5.735522863378617 45.201694714726, 5.735877037799508 45.20190046494741, 5.7361843629366405 45.20203438445516, 5.736402442076511 45.2021155319342, 5.7366900005095145 45.202184164425816, 5.736949983481862 45.20221022605298, 5.73727391233609 45.20221489818416, 5.737685095843045 45.2022057173601, 5.7380579528241284 45.202168644179636, 5.739103272002131 45.201941188232524, 5.739351280274415 45.201853115870755, 5.739697309047282 45.201659027010436, 5.740745333854294 45.20104587699332, 5.741082133446143 45.200845703462704, 5.741182881888212 45.20076935092906, 5.741214738048665 45.20074334181604, 5.74118461371392 45.20070083525489, 5.738571691087871 45.198588236726394))"
