Insee - Statistiques locales; ; 
Référentiel géographique : France par commune; ; 
Code;Libellé;Population municipale 2021
02082;Beugneux;113
02083;Beuvardes;746
02084;Bézu-le-Guéry;252
02085;Bézu-Saint-Germain;991
02086;Bichancourt;996
02087;Bieuxy;34
02088;Bièvres;84
02089;Billy-sur-Aisne;1151
02090;Billy-sur-Ourcq;199
02091;Blanzy-lès-Fismes;92
02093;Blérancourt;1261
02094;Blesmes;471
02095;Bohain-en-Vermandois;5721
02096;Bois-lès-Pargny;191
02097;Boncourt;265
02098;Bonneil;377
02099;Bonnesvalyn;211
02100;Bony;139
02101;Bosmont-sur-Serre;178
02102;Bouconville-Vauclair;186
02103;Boué;1324
02104;Bouffignereux;96
02105;Bouresches;190
02106;Bourg-et-Comin;810
02107;Bourguignon-sous-Coucy;104
02108;Bourguignon-sous-Montbavin;152
02109;La Bouteille;472
02110;Braine;2237
02111;Brancourt-en-Laonnois;718
02112;Brancourt-le-Grand;556
02114;Brasles;1635
02115;Braye-en-Laonnois;183
02116;Braye-en-Thiérache;138
02117;Bray-Saint-Christophe;67
02118;Braye;130
02119;Brécy;319
02120;Brenelle;195
02121;Breny;228
02122;Brie;55
02123;Brissay-Choigny;298
02124;Brissy-Hamégicourt;653
02125;Brumetz;181
02126;Brunehamel;453
02127;Bruyères-sur-Fère;191
02128;Bruyères-et-Montbérault;1432
02129;Bruys;19
02130;Bucilly;200
02131;Bucy-le-Long;1882
02132;Bucy-lès-Cerny;189
02133;Bucy-lès-Pierrepont;401
02134;Buire;849
02135;Buironfosse;1136
02136;Burelles;124
02137;Bussiares;141
02138;Buzancy;192
02139;Caillouël-Crépigny;453
02140;Camelin;447
02141;La Capelle;1769
02142;Castres;249
02143;Le Catelet;185
02144;Caulaincourt;142
02145;Caumont;546
02146;Celles-lès-Condé;99
02148;Celles-sur-Aisne;255
02149;Cerizy;59
02150;Cerny-en-Laonnois;62
02151;Cerny-lès-Bucy;115
02152;Cerseuil;87
02153;Cessières-Suzy;785
02154;Chacrise;367
02155;Chaillevois;187
